,group,kn_GW170817_counts,kn_GW170817_error,kn_Maf_Mean_Counts,kn_Pop_kNe_counts,kn_Pop_kNe_error,static_median Y1 $i$-band coadded depth in effective survey area,static_median Y10 $i$-band coadded depth in effective survey area,static_median Y3 $i$-band coadded depth in effective survey area,static_median Y6 $i$-band coadded depth in effective survey area,static_stddev of Y1 $i$-band coadded depth in effective survey area,static_stddev of Y10 $i$-band coadded depth in effective survey area,static_stddev of Y3 $i$-band coadded depth in effective survey area,static_stddev of Y6 $i$-band coadded depth in effective survey area,static_Y1 effective survey area,static_Y10 effective survey area,static_Y3 effective survey area,static_Y6 effective survey area,lss_diagnostic FOM Y1,lss_diagnostic FOM Y10,lss_Y1 Ngal (0.66<z<1.0),lss_Y10 Ngal (0.66<z<1.0),sl_num_lensed_SNe_Ia_with_good_time_delays_lensed_by_galaxies,sl_num_lensed_quasars_with_good_time_delays,sl_td_all_bands_distance_precision,sl_num_lensed_SNe_Ia_in_specific_galaxy_clusters,sl_std_num_lensed_SNe_Ia_in_specific_galaxy_clusters ,sn_faint_nsn_tot,sn_faint_zmax,sn_normal_nsn_tot,sn_faint_snr_rate,sn_faint_zlim_r,sn_normal_zmax,wl_fom,wl_systematics,pz_y10_zlow_fout,pz_y10_zlow_stdd,pz_y10_zlow_bias,pz_y10_zhigh_fout,pz_y10_zhigh_stdd,pz_y10_zhigh_bias
dcr_nham5_v1.4_10yrs.db,DCR,82.4,9.077444574,28.90305118,31.6,5.621387729,25.07,26.31,25.7,26.04,0.16,0.13,0.14,0.13,15119.98,15177.52,15260.93,15187.44,0.915344471,0.9777594206,4.41E+08,9.50E+08,31.45439906,420,0.2580003676,0.19,0.11,31980,0.16,134346,0.5496,0.2815,0.28,35.54106944,197.3175579,,,,,,
descddf_v1.4_10yrs.db,DESC_DDF,94.2,9.705668447,31.8996063,38.8,6.228964601,25.1,26.31,25.71,26.04,0.16,0.13,0.14,0.13,15246.5,15155.39,15273.62,15200.08,0.8856925789,0.9790640348,4.46E+08,9.49E+08,31.86800934,416,0.2568940827,0.07,0.03,47328,0.18,160970,0.5789,0.2971,0.28,35.50953004,205.3296302,,,,,,
euclidddf_v1.4_10yrs.db,euclid_DDF,100.4,10.01998004,30.5113189,35.8,5.983310121,25.1,26.29,25.7,26.03,0.16,0.13,0.14,0.13,15174.01,15087.61,15251.54,15145.16,0.8885024519,0.9778296102,4.43E+08,9.44E+08,30.94222636,406,0.2620371993,0.17,0.11,45866,0.18,150271,0.5766,0.2943,0.27,35.26854201,197.6037156,,,,,,
footprint_add_mag_cloudsv1.4_10yrs.db,footprints,89.8,9.476286192,30.26968504,33.2,5.761944116,25.08,26.29,25.69,26.03,0.16,0.13,0.14,0.14,15370.88,15236.38,15453.34,15337.72,0.877976152,0.9802739975,4.49E+08,9.53E+08,30.66594523,411,0.2613221613,0.21,0.11,44969,0.18,148012,0.5743,0.2928,0.27,35.65153079,195.5002354,,,,,,
footprint_big_sky_dustv1.4_10yrs.db,footprints,100.2,10.009995,28.54992694,40.6,6.371812929,25.06,26.28,25.68,26.02,0.17,0.14,0.15,0.15,17301.93,17167.49,17714.18,17344.63,0.8944153583,1.036778583,5.05E+08,1.07E+09,30.82468608,403,0.2631105127,0.16,0.1,54903,0.18,176708,0.5714,0.29,0.27,40.60199059,199.6969512,,,,,,
footprint_big_sky_nouiyv1.4_10yrs.db,footprints,109.8,10.47854952,31.39655172,41,6.403124237,25.1,26.31,25.71,26.05,0.17,0.15,0.16,0.15,16625.99,16303.23,16705.67,16452.15,0.9068034497,1.01503224,4.86E+08,1.02E+09,31.55029792,403,0.2590494478,0.17,0.1,49291,0.17,162093,0.5806,0.2951,0.27,38.5488353,215.5564475,,,,,,
footprint_big_skyv1.4_10yrs.db,footprints,114,10.67707825,30.80568239,41.4,6.434283177,25.08,26.3,25.7,26.04,0.18,0.15,0.16,0.15,16636.48,16330.08,16746.74,16507.17,0.9066907019,1.016481755,4.86E+08,1.02E+09,31.23527291,402,0.2596796222,0.19,0.11,54999,0.19,177996,0.5849,0.2922,0.29,38.51696931,210.9123607,,,,,,
footprint_bluer_footprintv1.4_10yrs.db,footprints,86,9.273618495,29.44586614,34.2,5.848076607,25.05,26.19,25.6,25.94,0.17,0.12,0.13,0.12,15046.44,14400.18,14836.09,14562.32,0.8684129416,0.9582401432,4.39E+08,8.98E+08,31.51626417,411,0.2602341654,0.17,0.11,45996,0.17,127318,0.5714,0.295,0.25,33.42854976,194.6105389,,,,,,
footprint_gp_smoothv1.4_10yrs.db,footprints,84.2,9.176055798,30.04379921,33.4,5.779273311,25.05,26.27,25.67,26.01,0.15,0.12,0.14,0.13,15087.3,15010.71,15170.91,15060.91,0.8792649347,0.9747007107,4.40E+08,9.38E+08,29.88669046,432,0.2575141097,0.19,0.11,42309,0.18,140734,0.575,0.2898,0.27,35.0091173,184.835938,,,,,,
footprint_newAv1.4_10yrs.db,footprints,76.8,8.76356092,23.37448047,31.6,5.621387729,24.96,26.19,25.58,25.93,0.15,0.12,0.13,0.12,16460.65,16457.39,17103.81,16657.46,0.8664791661,1.017474493,4.79E+08,1.03E+09,27.19032735,469,0.2570584658,0.18,0.1,30946,0.17,102676,0.5526,0.28,0.26,38.74493771,161.1647009,,,,,,
footprint_newBv1.4_10yrs.db,footprints,77.8,8.820430828,23.21654198,30.6,5.531726674,25,26.23,25.62,25.96,0.16,0.12,0.14,0.13,15993.47,16056.37,16672.67,16265.14,0.8748381137,1.007127884,4.66E+08,1.00E+09,28.37832472,436,0.2627786004,0.22,0.11,35891,0.16,117995,0.5591,0.2847,0.25,37.76156298,176.5276972,,,,,,
footprint_no_gp_northv1.4_10yrs.db,footprints,101,10.04987562,31.11661662,37.2,6.099180273,25.1,26.3,25.71,26.04,0.16,0.13,0.14,0.13,15126.01,15117.46,15252.9,15161,0.8772833084,0.9772267193,4.42E+08,9.46E+08,30.83829172,404,0.2620501015,0.2,0.12,46827,0.18,151938,0.5746,0.2949,0.27,35.4236212,200.307648,,,,,,
footprint_standard_goalsv1.4_10yrs.db,footprints,90.4,9.507891459,30.28887795,38.8,6.228964601,25.09,26.29,25.7,26.04,0.16,0.13,0.14,0.14,15067.42,15106.81,15245.61,15150.67,0.8769815651,0.9774385405,4.40E+08,9.45E+08,30.75615517,405,0.2624846292,0.21,0.11,46205,0.18,150875,0.57,0.2941,0.27,35.3331892,198.3245822,,,,,,
footprint_stuck_rollingv1.4_10yrs.db,footprints,104.8,10.23718711,33.25885827,41.4,6.434283177,25.27,26.52,25.92,26.26,0.25,0.17,0.19,0.18,9234.43,8175.82,8330.93,8192.66,0.7489877384,0.7259496662,2.70E+08,5.14E+08,23.05090935,274,0.289208134,0.21,0.13,64177,0.18,187446,0.6434,0.3292,0.27,27.39582526,344.7589018,,,,,,
pair_strategy_0_v1.4_10yrs.db,pair_strat,97.4,9.869143833,28.93061024,33.8,5.813776741,25.07,26.3,25.7,26.04,0.15,0.13,0.13,0.13,15164.78,15138.55,15261.3,15164.31,0.9245273945,0.9801270002,4.43E+08,9.47E+08,28.57350136,439,0.2448180764,0.14,0.08,45126,0.18,146415,0.5897,0.3005,0.27,35.47543261,197.0224206,,,,,,
pair_strategy_1_v1.4_10yrs.db,pair_strat,91.2,9.549869109,30.83120079,33.8,5.813776741,25.08,26.28,25.68,26.02,0.16,0.13,0.14,0.13,15108.44,15022.2,15176.68,15073.35,0.8936697385,0.9755563614,4.41E+08,9.39E+08,31.38705155,414,0.2570100409,0.16,0.11,45483,0.18,147484,0.575,0.2964,0.27,35.45163082,197.0637767,,,,,,
pair_strategy_2_v1.4_10yrs.db,pair_strat,91.6,9.570788891,28.85629921,34.8,5.899152482,25.06,26.3,25.69,26.04,0.15,0.13,0.13,0.13,15110.75,15143.48,15253.95,15181.46,0.8900966434,0.9793282529,4.41E+08,9.47E+08,28.68869344,432,0.2477153202,0.17,0.11,44540,0.17,145722,0.5962,0.2942,0.27,35.08552726,196.8674247,,,,,,
pair_strategy_3_v1.4_10yrs.db,pair_strat,98.2,9.909591313,28.80561024,39.8,6.308724118,25.06,26.3,25.7,26.03,0.15,0.13,0.14,0.13,15090.34,15132.2,15231.61,15172.96,0.8902431034,0.9796488295,4.41E+08,9.47E+08,28.91295886,434,0.247228945,0.21,0.11,43985,0.17,144743,0.6017,0.2955,0.27,35.40524825,197.2024285,,,,,,
pair_strategy_4_v1.4_10yrs.db,pair_strat,96.8,9.838699101,30.52312992,36,6,25.08,26.29,25.69,26.02,0.16,0.13,0.14,0.14,15135.45,15096.95,15231.92,15146.63,0.9037753079,0.9769751607,4.42E+08,9.44E+08,30.77649389,406,0.2622216592,0.18,0.11,45227,0.18,147727,0.5755,0.2964,0.27,35.4201096,197.5419691,,,,,,
roll_mod2_dust_sdf_0.20_v1.4_10yrs.db,alt_roll_dust,88.4,9.402127419,23.61166667,31.6,5.621387729,24.99,26.19,25.55,25.92,0.16,0.13,0.17,0.15,17007.76,16125.24,16439.3,16039.69,0.8952556906,1.009986415,4.95E+08,1.01E+09,27.32492437,342,0.3039990124,0.15,0.1,44653,0.17,142195,0.5758,0.293,0.27,35.26652881,182.5667482,,,,,,
rolling_mod2_sdf_0.10_v1.4_10yrs.db,rolling,89.4,9.455157323,30.8503937,32.6,5.709640969,25.06,26.23,25.58,25.94,0.16,0.12,0.17,0.15,15151.98,14883.67,14973.47,14725.46,0.8939819165,0.9726451674,4.42E+08,9.29E+08,28.12530055,348,0.2962809541,0.13,0.09,49998,0.19,157725,0.5926,0.3032,0.29,37.83475722,196.1668076,,,,,,
rolling_mod2_sdf_0.20_v1.4_10yrs.db,rolling,92.6,9.622889379,30.32037402,32.6,5.709640969,25.06,26.23,25.6,25.95,0.16,0.12,0.17,0.14,15151.98,14870.97,15073.61,14755.36,0.8939819165,0.9719595858,4.42E+08,9.28E+08,28.65095514,356,0.2922271579,0.17,0.1,48877,0.19,154490,0.5902,0.3008,0.29,34.54486684,195.387231,,,,,,
rolling_mod3_sdf_0.10_v1.4_10yrs.db,rolling,92.2,9.602083107,30.8617126,34.8,5.899152482,25.06,26.21,25.58,25.92,0.16,0.12,0.18,0.15,15151.98,14745.81,14538.35,14294.95,0.8939819165,0.9687132554,4.42E+08,9.20E+08,26.4133397,299,0.3312235686,0.14,0.09,50711,0.19,156521,0.5876,0.3027,0.3,34.54533676,196.9018847,,,,,,
rolling_mod3_sdf_0.20_v1.4_10yrs.db,rolling,93.6,9.674709298,30.62598425,33,5.744562647,25.06,26.21,25.59,25.92,0.16,0.12,0.17,0.15,15151.98,14697.34,14674.21,14337.92,0.8939819165,0.9673731509,4.42E+08,9.17E+08,27.14515218,327,0.3144242878,0.15,0.1,48959,0.19,152153,0.5876,0.3017,0.3,34.17687352,196.4675348,,,,,,
rolling_mod6_sdf_0.10_v1.4_10yrs.db,rolling,92.4,9.612491873,29.27509843,28.4,5.329165038,25.06,26.18,25.54,25.87,0.16,0.11,0.21,0.18,15151.98,14497.7,12931.36,12759.83,0.8939819165,0.9606248859,4.42E+08,9.03E+08,24.52080422,258,0.3676601651,0.04,0.01,48962,0.2,149109,0.5935,0.2994,0.32,34.11659408,198.3035726,,,,,,
rolling_mod6_sdf_0.20_v1.4_10yrs.db,rolling,85.4,9.241212042,29.44903988,31.6,5.621387729,25.06,26.19,25.54,25.87,0.16,0.11,0.2,0.18,15151.98,14536.41,13461.27,12910.64,0.8939819165,0.9611064043,4.42E+08,9.06E+08,25.46155064,285,0.3478100607,0.15,0.09,48004,0.2,146910,0.6,0.2977,0.31,33.56104231,197.1097136,,,,,,
short_exp_2ns_1expt_v1.4_10yrs.db,short_exp,94,9.695359715,29.06745446,33,5.744562647,25.09,26.3,25.7,26.04,0.15,0.13,0.13,0.14,15096.69,15095.8,15228.98,15131.1,0.8615671098,0.974998128,4.41E+08,9.45E+08,31.52093849,407,0.2621249373,0.2,0.11,43569,0.17,148435,0.5138,0.2858,0.28,33.71504379,224.813616,,,,,,
short_exp_2ns_5expt_v1.4_10yrs.db,short_exp,92.4,9.612491873,31.4886811,33.2,5.761944116,25.09,26.3,25.7,26.04,0.16,0.13,0.14,0.13,15006.94,15122.66,15226.52,15156.91,0.8563497906,0.9752364377,4.38E+08,9.46E+08,31.29012899,404,0.2637521092,0.16,0.08,42780,0.17,145467,0.5417,0.2859,0.28,35.38887102,221.7060411,,,,,,
short_exp_5ns_1expt_v1.4_10yrs.db,short_exp,81.2,9.011104261,27.09498031,29.4,5.422176685,25.04,26.3,25.68,26.04,0.16,0.13,0.14,0.14,14751.9,15029.97,15108.07,15043.18,0.8677985471,0.9717638867,4.30E+08,9.40E+08,31.64476574,408,0.2628475218,0.14,0.1,37034,0.17,133990,0.4561,0.2686,0.27,35.38897086,257.9393909,,,,,,
short_exp_5ns_5expt_v1.4_10yrs.db,short_exp,83,9.110433579,33.19537402,36.8,6.066300355,25.02,26.29,25.67,26.03,0.16,0.13,0.14,0.14,14811.17,15038.15,15097.53,15073.77,0.8704436354,0.9716259147,4.32E+08,9.41E+08,30.84449851,401,0.2670144406,0.07,0.03,35435,0.17,127581,0.5,0.2685,0.27,35.25645522,250.2595194,,,,,,
spiders_v1.4_10yrs.db,spiders,96.6,9.8285299,30.41683071,34,5.830951895,25.09,26.29,25.69,26.02,0.16,0.13,0.14,0.13,15178.89,15102.93,15253.95,15139.6,0.881753049,0.9777256017,4.43E+08,9.45E+08,30.93969972,406,0.2619137704,0.17,0.11,45269,0.18,149323,0.5753,0.2954,0.27,35.17747304,198.1740429,,,,,,
testrolling__mod2_sdf_0.20_noddf_v1.4_10yrs.db,debugging_rolling,,,,,,,,,,,,,,,,,,,,,,,377,0.2722122667,0.14,0.09,0,0,0,0,0,0,35.55957858,211.985296,,,,,,
testrolling__mod2_sdf_0.20_v1.4_10yrs.db,debugging_rolling,,,,,,,,,,,,,,,,,,,,,,,365,0.2805724673,0.16,0.1,0,0,0,0,0,0,35.28018311,190.5682418,,,,,,
testrolling__mod3_sdf_0.20_v1.4_10yrs.db,debugging_rolling,,,,,,,,,,,,,,,,,,,,,,,304,0.3206943929,0.16,0.09,0,0,0,0,0,0,34.05278482,190.1221077,,,,,,
twi_filters_1_v1.4_10yrs.db,twilight_filters,89.6,9.465727653,30.65288035,32.6,5.709640969,25.06,26.23,25.66,25.98,0.16,0.12,0.14,0.13,14850.04,14628.05,15091.08,14858.59,0.8680205021,0.9641296107,4.33E+08,9.13E+08,34.34693418,423,0.2558867197,0.2,0.12,38533,0.17,115728,0.5842,0.3043,0.25,34.88166941,207.7601691,,,,,,
twi_filters_2_v1.4_10yrs.db,twilight_filters,96,9.797958971,31.29576772,31,5.567764363,25.05,26.26,25.66,26,0.15,0.12,0.14,0.13,14863.1,14971.79,15125.07,15030.91,0.8719434764,0.9736828799,4.34E+08,9.36E+08,31.76524504,412,0.2601667397,0.18,0.11,37444,0.16,123161,0.6061,0.2935,0.25,35.50018518,195.0753071,,,,,,
twi_filters_3_v1.4_10yrs.db,twilight_filters,93,9.643650761,30.33956693,33,5.744562647,25.14,26.31,25.73,26.05,0.16,0.13,0.15,0.14,15294.03,15155.34,15294.76,15202.49,0.8775295089,0.9785729174,4.47E+08,9.49E+08,31.23290316,411,0.260109529,0.17,0.11,40790,0.17,126715,0.6,0.3036,0.26,35.3331892,201.6467788,,,,,,
twi_filters_4_v1.4_10yrs.db,twilight_filters,90.2,9.497368056,31.00442913,37.8,6.14817046,25.09,26.29,25.7,26.04,0.16,0.13,0.14,0.14,15067.42,15106.81,15245.61,15150.67,0.8769815651,0.9774385405,4.40E+08,9.45E+08,30.75615517,405,0.2624846292,0.21,0.11,46205,0.18,150875,0.5703,0.2941,0.27,35.36219636,198.3245822,,,,,,
twi_filters_5_v1.4_10yrs.db,twilight_filters,95.2,9.757048734,30.60531496,34,5.830951895,25.09,26.3,25.7,26.04,0.16,0.13,0.14,0.14,15141.75,15111.01,15272.99,15156.91,0.8728629056,0.9770464972,4.42E+08,9.45E+08,30.86489304,404,0.2628420951,0.16,0.08,45520,0.17,150090,0.5765,0.2923,0.27,29.02644406,198.0040732,,,,,,
twilight_neo_mod1_v1.4_10yrs.db,twilight_neo,71.6,8.461678321,20.94029851,26,5.099019514,24.91,26.08,25.48,25.81,0.21,0.2,0.21,0.21,11773.61,12184.39,13251.5,12664.15,0.8104262391,0.8858803265,3.42E+08,7.58E+08,34.78736016,431,0.2626555361,0.05,0.03,31995,0.16,93627,0,0.2743,0.24,33.74005355,252.936034,,,,,,
twilight_neo_mod2_v1.4_10yrs.db,twilight_neo,78,8.831760866,23.24285105,29.2,5.403702434,24.98,26.2,25.61,25.94,0.18,0.15,0.16,0.15,13979.59,14551.25,14880.89,14667.5,0.8723040855,0.9641539049,4.07E+08,9.08E+08,34.03080343,423,0.2625935125,0.04,0.01,38747,0.17,118594,0,0.2851,0.26,34.35185666,226.3291607,,,,,,
twilight_neo_mod3_v1.4_10yrs.db,twilight_neo,86.6,9.305912099,24.24391286,34,5.830951895,25.06,26.23,25.64,25.97,0.16,0.14,0.14,0.14,14762.13,14766.48,14969.85,14825.86,0.8889954818,0.9701594358,4.31E+08,9.22E+08,33.94219354,422,0.2616099785,0.16,0.1,40200,0.17,125272,0,0.2888,0.26,34.5804619,217.5212863,,,,,,
twilight_neo_mod4_v1.4_10yrs.db,twilight_neo,89.8,9.476286192,24.50683761,30,5.477225575,25.07,26.24,25.64,25.98,0.17,0.14,0.14,0.14,14916.77,14873.59,15070.36,14948.03,0.889985106,0.9728660538,4.36E+08,9.29E+08,33.32622233,417,0.262072392,0.16,0.11,41805,0.17,132824,0,0.289,0.26,35.17514845,212.4509029,,,,,,
var_expt_v1.4_10yrs.db,var_expt,95.4,9.767292358,28.23622047,38,6.164414003,25.05,26.26,25.65,25.99,0.13,0.1,0.11,0.11,15245.87,15255.89,15333,15300.59,0.8730634613,0.9780712048,4.45E+08,9.53E+08,29.21990504,405,0.2644166593,0.19,0.11,38183,0.18,133267,0.5714,0.29,0.28,35.34049478,186.7164969,,,,,,
weather_0.3_v1.4_10yrs.db,weather,93.4,9.664367543,31.00442913,36.4,6.033241252,25.09,26.29,25.7,26.04,0.16,0.13,0.14,0.14,15067.42,15106.81,15245.61,15150.67,0.8769815651,0.9774385405,4.40E+08,9.45E+08,30.75615517,405,0.2624846292,0.2,0.11,46205,0.18,150875,0.5714,0.2941,0.27,35.3331892,198.3245822,,,,,,
weather_0.7_v1.4_10yrs.db,weather,113.4,10.64894361,36.37106299,45.2,6.723094526,25.19,26.37,25.78,26.11,0.17,0.14,0.14,0.14,15316.53,15296.28,15383.2,15329.59,0.8864548616,0.9835822473,4.49E+08,9.59E+08,32.78739284,444,0.2416418182,0.21,0.12,66520,0.19,216173,0.5986,0.3024,0.29,36.1846349,232.9746967,,,,,,
weather_1.2_ndt_v1.4_10yrs.db,weather,156.2,12.49799984,48.28051181,60.2,7.758865897,25.3,26.48,25.91,26.24,0.16,0.14,0.15,0.14,15489.11,15512.24,15558.3,15542.83,0.9339459965,0.9880734184,4.55E+08,9.75E+08,35.02979916,558,0.2104901221,0.23,0.12,11907,0.21,369837,0.6364,0.3171,0.33,37.34847311,303.9258901,,,,,,
weather_1.2_v1.4_10yrs.db,weather,139.2,11.79830496,43.98966535,53.8,7.334848328,25.27,26.45,25.87,26.2,0.15,0.14,0.14,0.14,15472.8,15461.52,15521.32,15495.25,0.9304099028,0.9865905433,4.54E+08,9.71E+08,34.42745322,511,0.2204611017,0.18,0.09,95940,0.2,302410,0.6154,0.3152,0.31,37.04453688,279.7866349,,,,,,
wfd_depth_scale0.65_noddf_v1.4_10yrs.db,wfd_depth,79.4,8.910667764,32.59448819,28.4,5.329165038,25.06,26.25,25.66,25.99,0.15,0.12,0.13,0.12,15110.07,15181.14,15326.76,15239.21,0.8680132739,0.9679334923,4.41E+08,9.48E+08,30.59061378,510,0.242734304,0.17,0.1,40705,0.17,139654,0.5851,0.2885,0.27,35.28449096,188.7202615,,,,,,
wfd_depth_scale0.65_v1.4_10yrs.db,wfd_depth,72,8.485281374,28.15108268,26.8,5.176871642,24.98,26.17,25.58,25.91,0.15,0.11,0.12,0.11,14811.59,14743.24,15085.2,14878.95,0.8696580236,0.9559633691,4.31E+08,9.18E+08,28.67203275,467,0.2562998342,0.16,0.09,35225,0.17,114168,0.5526,0.2822,0.26,34.0367506,169.6227711,,,,,,
wfd_depth_scale0.70_noddf_v1.4_10yrs.db,wfd_depth,83.4,9.132360045,32.72883858,25.6,5.059644256,25.08,26.26,25.67,26.01,0.16,0.12,0.13,0.12,15127.38,15246.14,15322.35,15271.26,0.8723326941,0.9700775328,4.42E+08,9.53E+08,30.98731501,485,0.2459847709,0.13,0.06,43015,0.18,148084,0.5806,0.2893,0.27,35.49248943,191.2652571,,,,,,
