,3x2ptFoM Exgalm5WithCuts i band non-DD year 10 HealpixSlicer,Median WeakLensingNvisits gri band non-DD HealpixSlicer,Total detected SNNSNMetric_reducen_sn DDF excluded HealpixSlicer,Total detected SNSLMetric HealpixSlicer,Total detected KNePopMetric_all_multi_color_detect all models UserPointsSlicer,Effective Area (deg) Exgalm5WithCuts i band non-DD year 10 HealpixSlicer,fONv MedianNvis fO HealpixSlicer,Median Median Inter-Night Gap WFD all bands HealpixSubsetSlicer,Median Median Inter-Night Gap WFD r band HealpixSubsetSlicer,Mean Median Season Length WFD all bands HealpixSubsetSlicer,Median Exgalm5WithCuts i band non-DD year 10 HealpixSlicer,Median Median Inter-Night Gap WFD u band HealpixSubsetSlicer,Median Median Inter-Night Gap WFD g band HealpixSubsetSlicer,Median Median Inter-Night Gap WFD i band HealpixSubsetSlicer,Median Median Inter-Night Gap WFD z band HealpixSubsetSlicer,Median Median Inter-Night Gap WFD y band HealpixSubsetSlicer
too_elab_heavy_r32_d2_griz_v3.4_10yrs,41.70340694930144,434.0,146974.348338,10.369465737241576,22629.0,17731.756842376322,817.0,2.9069731631680042,5.933690234034657,174.6556724092162,26.393043554134486,25.91636950674001,18.569787108386663,6.94715753534183,7.95410475324752,12.501288885900067
too_elab_heavy_r32_d2_gz_v3.4_10yrs,41.71115442688901,434.0,147313.512818,10.175669438302997,22759.0,17730.0782550859,817.0,2.916772931612286,5.9677117166484095,176.1337167270157,26.39563604117198,25.80364216858652,18.861342410935322,6.940517062250365,7.972043613415735,13.032661505121723
too_elab_heavy_r32_d2_ugrizy_v3.4_10yrs,41.71061714582284,434.0,146207.64193500002,,22702.0,17734.274723311955,816.0,2.907722280226153,5.96534283985784,175.33869525027293,26.39340846328051,25.854012481711834,18.915938657264633,6.948829616634612,7.971874515957097,12.925722800468066
too_elab_heavy_r32_d3_griz_v3.4_10yrs,41.72787745746497,435.0,146219.986572,10.273764676623571,22660.0,17751.06059621618,817.0,2.912360812913903,5.968258783148485,174.98475427259936,26.388898541834667,25.866582598988316,19.026579496090562,6.948461562211378,7.969558251865237,12.844360786486504
too_elab_heavy_r32_d3_gz_v3.4_10yrs,41.71728722911146,434.0,146455.168343,10.199845871967405,22670.0,17735.953310602377,817.0,2.9063989405294706,5.973266874723777,174.83952822727588,26.39407377162685,25.815100947977044,18.977431964391144,6.92207918018903,7.985648403860978,13.030460165442491
too_elab_heavy_r32_d3_ugrizy_v3.4_10yrs,41.73403731335233,435.0,146203.22309699998,,22342.0,17742.66765976407,817.0,2.9068383039284527,5.964938581571914,174.97604801297325,26.394495388850626,25.82652196332856,18.60136962513934,6.934848668397535,7.982149070387095,12.926959219958007
too_elab_heavy_r64_d2_griz_v3.4_10yrs,41.70944559022223,435.0,143531.182808,10.217283346461128,22011.0,17742.66765976407,817.0,2.9216155290014285,5.950476109444935,175.41267204430864,26.388950562754417,25.7481005993468,19.931271589890457,6.9609517353601404,7.991368802458965,13.022235240016016
too_elab_heavy_r64_d2_gz_v3.4_10yrs,41.719099786566915,435.0,145552.342562,10.07942513129102,22314.0,17742.66765976407,817.0,2.9204321526995045,5.98269032240205,176.07122129844356,26.39111863922205,25.521748297349404,19.94802740414525,6.9488755865641,7.992077654525929,12.008881082560038
too_elab_heavy_r64_d2_ugrizy_v3.4_10yrs,41.66259086975326,434.0,143793.247348,,22089.0,17715.81026311731,816.0,2.927192105104041,5.9754921712847135,175.16878421743345,26.391845558117026,25.914502220781287,19.907111180997163,6.9640843664165,7.979344944262266,12.994151051447261
too_elab_heavy_r64_d3_griz_v3.4_10yrs,41.70413559480771,435.0,143960.561347,10.21703319153169,22173.0,17740.149778828432,816.0,2.9220617047794804,5.976907856500475,175.50492374673607,26.38901612210286,25.86645119203604,19.116549089092587,6.9629620012165105,7.982595599532942,12.986496650504705
too_elab_heavy_r64_d3_gz_v3.4_10yrs,41.69136205360256,435.0,143277.79826100002,10.085385389932824,22214.0,17733.435429666744,816.0,2.92563243541008,5.96702321650082,175.77258699256075,26.389502233549152,25.48028228037947,19.974579798610648,6.925265610079805,7.990518770122435,12.455564868341753
too_elab_heavy_r64_d3_ugrizy_v3.4_10yrs,41.73732376005263,435.0,143794.90813400003,,22113.0,17755.257064442234,816.0,2.926488552140654,5.978408124676207,175.34784799442195,26.388925928804706,25.456220971482253,19.41797756784581,6.971880684672215,7.971971233062504,13.020520448488242
too_elab_r128_d2_giz_v3.4_10yrs,41.60294465095559,432.0,146681.991981,10.283500608021544,22579.0,17707.4173266652,813.0,2.9097069666313473,5.975588202865765,175.08320688879522,26.382820205357547,25.876712824960123,18.935138946682855,6.975481686087733,7.963800251476641,12.897706446598022
too_elab_r128_d2_griz_v3.4_10yrs,41.640062825687174,431.0,144747.15249100002,10.216176586345679,22412.0,17713.292382181677,811.0,2.9114924346758926,5.994457561919262,175.88563116049565,26.388085354749897,25.8977642331447,19.478389737661928,6.97744994689856,8.002917133781011,12.980008987506153
too_elab_r128_d2_gz_v3.4_10yrs,41.725373592383804,432.0,148600.572369,10.280072954853678,22825.0,17746.024834344913,814.0,2.9134207939132466,5.975870971931727,175.87650220158267,26.390852137092,25.629718502206742,19.15619924030034,6.9475965560232,7.9740771687320375,12.992296880351205
too_elab_r128_d2_ugrizy_v3.4_10yrs,41.70330187473516,430.0,144254.645157,,22415.0,17731.756842376322,810.0,2.924028534842364,5.988461217562872,175.03954483636204,26.39301987922558,25.936575659354276,18.979168090118037,6.978803896556201,7.9811603813723195,11.991224329562101
too_elab_r128_d3_giz_v3.4_10yrs,41.573269500486006,432.0,145069.350155,10.182387461282929,22091.0,17699.024390213086,812.0,2.9204487348724797,5.944483089311689,176.41929637854892,26.38046996757243,25.84376713013262,19.226664803652966,6.969066908615787,7.985071239174431,13.027981376775642
too_elab_r128_d3_griz_v3.4_10yrs,41.59376517711618,431.0,144360.064776,10.156322498149812,22140.0,17704.060152084352,811.0,2.9303622515053576,5.987708156913868,176.6482222529101,26.382462014660675,25.0069631510014,19.84701489501822,6.976889168203343,8.007488318904507,13.948291130678626
too_elab_r128_d3_gz_v3.4_10yrs,41.62770035578026,432.0,146121.673695,10.194457393326532,22423.0,17704.899445729563,812.0,2.92084875494038,5.985453492372471,176.05183618458972,26.38949985547768,25.36902010983613,19.929705207432562,6.941140331415227,7.996844788245653,12.481294656568934
too_elab_r128_d3_ugrizy_v3.4_10yrs,41.671637756838095,430.0,142379.39724700002,,22167.0,17734.274723311955,810.0,2.928129270731006,5.992023915598111,175.41755564996348,26.38470040889956,25.89729842514498,19.40825878005853,6.983020228355599,7.996998473550775,12.97691451589344
too_elab_r16_d2_giz_v3.4_10yrs,41.718541063721126,432.0,150391.058731,10.31274346595093,23048.0,17738.47119153801,816.0,2.8917793155287654,5.954895158391082,174.32902364583876,26.393094118445664,25.869005851516704,17.920176266643466,6.949160580488751,7.921942998445957,11.456943091299763
too_elab_r16_d2_griz_v3.4_10yrs,41.73352930211154,433.0,150347.037278,10.325056485466787,23044.0,17732.596136021533,815.0,2.8991255002765683,5.950268672218954,174.51943337089114,26.399461539201454,25.830184730009933,18.390422275035235,6.926387820960372,7.9459451446819,12.07232810419373
too_elab_r16_d2_gz_v3.4_10yrs,41.695176339113395,433.0,151297.64942700003,10.297992192325028,22844.0,17730.91754873111,816.0,2.899063284519798,5.955785110545548,175.15944524845474,26.391612024900432,25.085261410973544,18.710714597826154,6.933526385102596,7.951279110986434,13.397819395820989
